[2021-06-22 00:10:13,000] DEBUG    sbp.clusterer    Using clustering threshold of 0.007
[2021-06-22 00:10:13,001] DEBUG    sbp.clusanno     Annotating 20 Sections
[2021-06-22 00:10:13,001] DEBUG    sbp.clusanno     Annotating 8 Sections
[2021-06-22 00:10:46,023] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:10:46,023] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:10:46,023] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:10:46,023] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:10:46,024] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:10:46,024] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:10:46,024] DEBUG    sbp.columniser   	max_vertical_gap=0.01
[2021-06-22 00:10:46,024] DEBUG    sbp.columniser   	max_vertical_gap=0.01
[2021-06-22 00:10:46,024] DEBUG    sbp.columniser   	fuzzyness=0.01
[2021-06-22 00:10:46,024] DEBUG    sbp.columniser   	fuzzyness=0.01
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    Configured Clusterer with config:
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    Configured Clusterer with config:
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    	Fuzzyness=1.0
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    	Fuzzyness=1.0
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    	Min Gap=0.0
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    	Min Gap=0.0
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    	Max Gap=1.0
[2021-06-22 00:10:46,024] DEBUG    sbp.clusterer    	Max Gap=1.0
[2021-06-22 00:10:46,024] DEBUG    sbp.clusanno     Configured SectionAnnotator
[2021-06-22 00:10:46,024] DEBUG    sbp.clusanno     Configured SectionAnnotator
[2021-06-22 00:10:46,032] INFO     sbp.txloader     Retrieving cached result for ..\data\crelvohr\crelvohr.png
[2021-06-22 00:10:46,032] INFO     sbp.txloader     Retrieving cached result for ..\data\crelvohr\crelvohr.png
[2021-06-22 00:10:46,061] INFO     sbp              Loaded file ..\data\crelvohr\crelvohr.png
[2021-06-22 00:10:46,061] INFO     sbp              Loaded file ..\data\crelvohr\crelvohr.png
[2021-06-22 00:10:46,062] INFO     sbp              Loading ..\data\crelvohr\crelvohr.png
[2021-06-22 00:10:46,062] INFO     sbp              Loading ..\data\crelvohr\crelvohr.png
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   Received 103 lines
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   Received 103 lines
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   Initial pass found 5 columns
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   Initial pass found 5 columns
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 0: Length 43
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 0: Length 43
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 1: Length 3
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 1: Length 3
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 2: Length 6
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 2: Length 6
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 3: Length 3
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 3: Length 3
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 4: Length 48
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 4: Length 48
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   2 columns remain after column merging
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   2 columns remain after column merging
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 0: 55 -> 40 lines after merging
[2021-06-22 00:10:46,062] DEBUG    sbp.columniser   	Col 0: 55 -> 40 lines after merging
[2021-06-22 00:10:46,063] DEBUG    sbp.columniser   	Col 1: 48 -> 48 lines after merging
[2021-06-22 00:10:46,063] DEBUG    sbp.columniser   	Col 1: 48 -> 48 lines after merging
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Found reasonable threshold of 0.002%
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Found reasonable threshold of 0.002%
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Using clustering threshold of 0.002
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Using clustering threshold of 0.002
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Found reasonable threshold of 0.007%
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Found reasonable threshold of 0.007%
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Using clustering threshold of 0.007
[2021-06-22 00:10:46,064] DEBUG    sbp.clusterer    Using clustering threshold of 0.007
[2021-06-22 00:10:46,065] DEBUG    sbp.clusanno     Annotating 20 Sections
[2021-06-22 00:10:46,065] DEBUG    sbp.clusanno     Annotating 20 Sections
[2021-06-22 00:10:46,065] DEBUG    sbp.clusanno     Annotating 8 Sections
[2021-06-22 00:10:46,065] DEBUG    sbp.clusanno     Annotating 8 Sections
[2021-06-22 00:11:22,369] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:11:22,369] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:11:22,369] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	max_vertical_gap=0.01
